,index,Clinical_Study_Id,Overall_Status,Detailed_Description,Primary_Disease_or_Condition,Primary_Disease_or_Condition_Keywords,Study_Completion_Date,Study_Stopped_Reasons,Study_Design_Primary_Purpose,Eligibility_Criteria,Eligibility_Gender,Is_Eligibility_Gender_Based,Eligibility_Minimum_Age,Eligibility_Maximum_Age,Location_Facilities,Location_Countries,Removed_Countries
0,19,NCT03650322,Not yet recruiting,,Cancer;Cancer-related Problem/Condition;Exercise,,2020-05-30,,Basic Science,Inclusion Criteria: - 30-65 years of age - Cancer diagnosis - 1 year since last cancer treatment (surgery chemotherapy and/or radiation) - Not planning to receive treatment during study period - Completion of Physical Activity Readiness Questionnaire (PAR-Q) - Ambulatory and absence of health conditions that may be exacerbated by yoga walking or strength training - Physician consent (if deemed necessary) - Low-active i.e. less than two days of 30 minutes of structured exercise/week no current yoga or strength training program involvement in last six months - Intention to remain in the Champaign-Urbana area over the study duration - Willingness to be randomly assigned to one of the three groups (yoga aerobic walking strength training) - Comfortable with reading writing and speaking English Exclusion Criteria: - Below 30 or above 65 years of age - Cancer diagnosis of bone blood head neck or lung cancer - Less than 1 year since last treatment (surgery chemotherapy and/or radiation) or plans to receive treatment during study - Determined ambulatory or 'high risk' based on responses to PAR-Q - High-active (exercising more than 2 times per week for greater than 30 minutes in the last six months) - No consent from physician - Intent to be away from the Champaign-Urbana area for an extended period of time during the study - Inability to communicate effectively in English,All,,30 Years,65 Years,facility:University of Illinois at Urbana-Champaign|Urbana|Illinois|61801|United States|status:Not yet recruiting,United States,
1,22,NCT03655886,Recruiting,,Prostate Cancer Metastatic,metastatic;prostate cancer;local;cytoreductive,2022-08-01,,Treatment,Inclusion Criteria: - Male ≥18y - Histologically proven PC - Newly diagnosed metastatic PC as assessed by standard imaging (CT and bone scintigraphy) - ECOG 0-1 (2 if related to local PC symptoms) - Eligible for local treatment - Written informed consent and able and willing to comply with protocol requirements Exclusion Criteria: - Previous systemic treatment for PC except ADT started within 3 months before randomization - Previous radiotherapy to the pelvis interfering with prostate irradiation - Previous surgery in the pelvis interfering with radical prostatectomy - Symptoms related to metastatic lesions persisting for at least 2 weeks after initiation of ADT - Metastatic brain disease leptomeningeal disease or imminent spinal cord compression - Previous or current malignant disease which is likely to interfere with LoMP II treatment or assessment - Psychological disorder intervening with understanding the information or the informed consent,Male,True,18 Years, ,facility:University Hospital Ghent|Ghent|Belgium|status:Recruiting|contact:Nicolaas Lumen PhD|+3293322276|poli.urologieuzgent.be,Belgium,
2,26,NCT03658785,Not yet recruiting,Adoptive cell transfer therapy that utilizes an autologous TIL manufacturing progress is originally developed by the NCI for the treatment of patients with recurrent metastatic cervical cancer. TILs specific to personalized neo-antigens will be expended in vitro and given back to the patients through vein. A total of 20 patients will be enrolled in the single-arm open label interventional study.,Recurrence Tumor;Metastatic Cancer;Solid Tumor,TIL;neo-antigen,2024-12-31,,Treatment,Inclusion Criteria: To be eligible for the study patients must meet ALL of the following criteria prior to enrollment in the study: 1. Must be ≥ 18 years of age at the time of consent. 2. Must have recurrent metastatic or persistent carcinoma that is not amenable to curative treatment with surgery and/or radiation therapy and for which no other therapies are expected to have significant benefit in the opinion of the Investigator. 3. Must have at least 1 lesion that is resectable for TIL generation. The resected TIL generating lesion(s) should yield at least 1.5 cm in diameter post-resection of tumor tissue. Following resection for TIL generation must have a remaining measurable target lesion as defined by RECIST v1.1. 4. Patients must have progressive disease while receiving or after the completion of the most recent prior treatment. 5. Any prior therapy directed at the malignant tumor must be discontinued at least 28 days prior to tumor resection. Radiation therapy may have been received up to 28 days prior to tumor resection for lesions not expected to be used for TIL generation or target lesions. 6. Have an Eastern Cooperative Oncology Group (ECOG) performance status of 0 or 1. 7. Patients must be seronegative for the human immunodeficiency virus (HIV). 8. Patients with positive serology for hepatitis B virus surface antigen (HBsAg) hepatitis B core antibody (anti-HBc) or hepatitis C virus (anti-HCV) indicating acute or chronic infection may be enrolled if the viral load by polymerase chain reaction (PCR) is undetectable with/without active treatment. 9. Hematology: Absolute neutrophil count greater than 1000/mm(3) without the support of filgrastim;White blood cell (WBC) greater than or equal to 3000/mm(3);Platelet count greater than or equal too 100 000/mm(3);Hemoglobin greater than 8.0 g/dl. 10. Chemistry: Serum alanine aminotransferase (ALT)/aspartate aminotransferase (AST) less than or equal to to 2.5 times the upper limit of normal. Serum creatinine less than or equal to to 1.6 mg/dl.Total bilirubin less that or equal to 1.5 mg/dl except in patients with Gilbert's Syndrome who must have a total bilirubin less than 3.0 mg/dl. 11. Women of child bearing potential must have a negative pregnancy test because of the potentially dangerous effects of the treatment on the fetus. Exclusion Criteria: 1. Patients who have received an organ allograft or prior cell transfer therapy. 2. Patients who are on a systemic steroid therapy > 10 mg of prednisone daily or other steroid equivalent. 3. Patients who currently have prior therapy-related toxicities greater than Grade 1 according to NCI-CTCAE v4.03; except for peripheral neuropathy alopecia or vitiligo prior to enrollment/resection. 4. Patients who have a contraindication to or history of hypersensitivity reaction to any component or excipients of the TIL therapy and the other study drugs. 5. Patients with active systemic infections coagulation disorders or other active major medical illnesses of the cardiovascular respiratory or immune system. 6. Patients with symptomatic and/or untreated brain metastases (of any size and any number). 7. Patients who have any form of primary or acquired immunodeficiency syndrome such as severe combined immunodeficiency disease or acquired immune deficiency syndrome (AIDS). 8. Patients who have a diagnosis of end-stage renal disorder requiring hemodialysis. 9. Patients who have a left ventricular ejection fraction (LVEF) < 45% or who are New York Heart Association (NYHA) Class 2 or higher. Patients who have a forced expiratory volume in 1 second (FEV1) of less than or equal to 60% of predicted normal. 10. Patients who have received a live or attenuated vaccine within 28 days of the NMA-LD regimen. 11. Patients whose cancer requires immediate treatment or who would otherwise suffer a disadvantage by participating in this study. 12. Patients who have received prior treatment with immunotherapy (eg anti-PD-1 anti-PD-L1 or anti-CTLA4 antibodies),All,,18 Years,70 Years,facility:Tongji Hospital Tongji Medical College Huazhong University of Science and Technology|Wuhan|Hubei|430000|China|status:Recruiting|contact:Wang,China,
3,55,NCT03656731,Not yet recruiting,,Breast Cancer,exercise;older;resistance training;breast cancer,2021-07-01,,Supportive Care,Inclusion Criteria: Participants must: - Be operated for primary breast cancer within 12 weeks or - Be diagnosed with locally advanced or metastatic breast cancer. Be treated with adjuvant or first-line palliative therapy defined as chemotherapy ± HER2 directed treatment ± antihormonal treatment antihormonal treatment ± HER 2 directed treatment ± CDK 4/6 inhibitor. - Be ≥ 70 years of age at the time of signing the informed consent form - Have an Eastern Cooperative Oncology Group (ECOG) performance status score ≤ 2 - Be able to speak and read Danish and to provide a signed informed consent form. Exclusion Criteria: Participants with: - Any physical condition that hinder the execution of physical exercise training - Other types of cancer - Documented and uncontrolled brain metastases that hinder participation in an exercise-based trial based on the referring oncologist's assessment - Dementia psychotic disorders or other cognitive diseases or conditions that hinder written consent - Unstable medical disease or history of serious or concurrent illness; any medical condition that might be aggravated by exercise training or that cannot be controlled including but not restricted congestive heart failure (NYHA class III-IV) unstable angina pectoris implantable cardioverter defibrillator (ICD) or myocardial infarction within 6 months based on the referring oncologist's assessment. In patients with documented bone metastases: - A bone metastatic burden or location that poses a risk of injury in the performance of exercise training as assessed by the referring oncologist.,Female,,70 Years, ,,,
4,62,NCT03655353,Recruiting,,HER2-positive Breast Cancer,,2022-12-31,,Diagnostic,"Inclusion Criteria: 1. Signed written informed consent. 2. Age ≥18 years. 3. Histologically or cytologically confirmed HER2-positive or borderline positive (for definition see below) adenocarcinoma of the breast. HER2-positive defined as: 1. 3+ by immunohistochemistry [IHC] in >10% of cell areas. 2. 2+ by IHC in >10% of cell areas and HER2/CEP17 ratio ≥2.0 or HER2 copy number ≥ 6.0 by in situ hybridization [ISH]). HER2-borderline positive defines as: 3. 2+ by IHC and HER2/CEP17 ratio <2.0 and/or HER2 copy number 4.0 - 6.0 by in situ hybridization [ISH]) (""equivocal""). 4. 2+ by IHC and HER2/CEP17 ratio <2.0 and/or HER2 copy number <4.0 by in situ hybridization [ISH]) (""2+ ISH negative""). 5. Known inhomogeneous HER2-expression in the primary tumor with HER2-positive areas <10% (""inhomogeneous""). 4. Primary breast cancer planned for neoadjuvant therapy (Stage II-III T2-4N0-3) or metastatic (M1; at least 80 pts). 5. At least one tumor lesion ≥ 10 mm. 6. At least one tumor lesion available for biopsy. 7. Newly diagnosed or confirmed progression and planned for therapy with trastuzumab emtansine or anti-HER2 targeted therapy(-ies) concomitant with chemotherapy (HER2-positive cohort) or chemotherapy (HER2-negative patients). 8. WHO performance status ≤ 2. 9. Predicted survival > 12 weeks. 10. Negative pregnancy test in women of childbearing potential (premenopausal or <12 months of amenorrhea post-menopause and who have not undergone surgical sterilization). Women of childbearing potential must use highly effective method of contraception i.e combined hormonal contraception or progestogen-only hormonal contraception or intrauterine device or intrauterine hormone-releasing system or bilateral tubal occlusion or vasectomized partner or sexual abstinence Exclusion Criteria: 1. Histologically or cytologically confirmed HER2-negative breast cancer defined as IHC 0 or 1+. 2. Other manifest malignancy. 3. Serious uncontrolled concomitant disease including congestive heart failure that would contraindicate the use of any anti-HER2 therapy. 4. Inadequate organ function suggested by the following laboratory results: - Absolute neutrophil count <1 500 cells/mm3 - Total bilirubin ≥1.5 x ULN (unless the patient has documented Gilbert's syndrome) - AST (SGOT) or ALT (SGPT) >5.0 × ULN - Serum creatinine clearance <30 ml/min 5. Patients of childbearing potential and sexually active and not willing to use highly effective contraceptive. 6. Assessed by the Investigator to be unable or unwilling to comply with the requirements of the protocol.",All,,18 Years, ,facility:Section for Clinical Research & Development Unit|Uppsala|75185|Sweden|status:Recruiting|contact:Tora Sundin|tora.sundinakademiska.se|contact_backup:Lena Franklin|lena.franklinakademiska.se,Sweden,
5,69,NCT03650153,Not yet recruiting,This prospective study of comparing transperineal (TP) prostate MRI targeted biopsy with transrectal (TR) prostate MRI targeted biopsy was aimed to provide evidence for clinicians to select the appropriate biopsy approach under different conditions. TP (n = 75) and TR (n = 75) will be performed randomly for 150 patients who are suspicious of prostate cancer (PCa). The cancer detection rate (CDR) complication rate visual analog scale (VAS) score most painful procedure number of repeated biopsy and additional anesthesia and operating time (starting from lying down on the operating table to getting up) will be recorded.,Prostate Cancer,,2020-12-31,,Diagnostic,Inclusion Criteria: - prostate-specific antigen > 4ng/ml - Palpation is positive Exclusion Criteria: - older than 80y - prostate-specific antigen > 100 ng/ml,Male,, ,80 Years,facility:King Khalid University Hospital|Riyadh|Saudi Arabia,Saudi Arabia,
6,72,NCT03657654,Not yet recruiting,Voice difficulty is a common complaint following thyroidectomy and while the procedure risks injury to laryngeal nerves involved in voice production voice difficulty is common even in the absence of evident injury to these nerves. The cause of voice change in these situations is not well defined and multiple mechanisms have been suggested. Some potential mechanisms include trauma to the laryngeal skeleton from intraoperative manipulation of the strap muscles cricothyroid muscle thyroid cartilage or trachea. However it is also possible that irritation due to intubation and edema to the neck and oral or pharyngeal soft tissues that develops after the surgery as a result of intubation plays a role in postoperative voice change. These mechanisms can occur in any operation requiring general endotracheal anesthesia even when the laryngeal nerves are not specifically at risk of injury. The purpose of this study is to evaluate voice outcomes after thyroidectomy (both objective and subjective patient and clinician reported) and compare those to voice outcomes after other surgeries that do not put the recurrent or superior laryngeal nerves at risk or traumatize the laryngeal skeleton but do require general endotracheal anesthesia. The primary assessment tool will be the Voice Handicap Index-10 (VHI-10) which is a questionnaire that asks about the patient's interpretation of his/her voice quality and the impact it is having on daily activities. Data analysis will be done to see if participants have a significant change in their pre-operation VHI-10 score at approximately 1 week and 3 months post-operation. Additional assessments tools will include nasolaryngoscopy and nasolaryngeal stroboscopy to assess global vocal fold function Consensus Auditory Perceptual Evaluation of Voice (CAPE-V) and computerized speech lab (CSL) acoustics to assess voice quality and vocal aerodynamic analysis to determine air flow through the larynx.,Thyroid Cancer;Thyroid Nodule,Thyroidectomy;Laryngeal Nerves;Voice problems,2019-12-15,,,Inclusion Criteria: 1. Provision of signed and dated informed consent form 2. Stated willingness to comply with all study procedures and availability for the duration of the study 3. Age ≥ 18 years 4. Subject must be clinically referred for a thyroidectomy for known or potential cancer or subject must be clinically referred for a surgery requiring intubation but without risk to the laryngeal nerves or dissection adjacent to the larynx for the control group 5. As the VHI-10 is not available and validated in all languages participants must be able to comprehend a validated version of the VHI-10 in their language Exclusion Criteria: 1. Plan to include neck dissection in upcoming surgery (control group/non-thyroidectomy patients only) 2. Known to be pregnant,All,,18 Years, ,facility:University of Virginia|Charlottesville|Virginia|22908|United States|status:Not yet recruiting|contact:Bette F Ghamandi MHA CCRP|434-243-1558|bjf8jhscmail.mcc.virginia.edu|investigator:James Daneiro MD|role:Sub-Investigator;Bethany Horton PhD|role:Sub-Investigator,United States,
7,79,NCT03658434,Recruiting,Please refer to uploaded Study Protocol,Hormone-refractory Prostate Cancer,,2020-08-01,,Treatment,Inclusion Criteria: 1. Patients with hormone refractory biopsy proven prostate cancer 2. Presenting with a dominating debilitating symptom 3. Expected median survival of 12 months 4. Focal irradiation of lesion is feasible 5. Systemic therapy according to guidelines 6. age ≥18 years 7. Legal capacity able to understand consequences of the trial 8. Written informed consent Exclusion Criteria: 1. Relevant comorbidity (limiting radiotherapy according to protocol) 2. Prior radiotherapy limitations to administer radiotherapy according to protocol 3. No large metal implants in vicinity of lesion 4. Department dose constraints for normal tissue can't be met 5. Large bony lesions with extensive osseous destruction 6. Patients symptoms do not correlate with MR findings,Male,,18 Years, ,facility:Dep. Radiation Oncology Zealand University Hospital|Næstved|Sjaelland|DK-4700|Denmark|status:Recruiting|contact:Redas Trepiakas|+4556513231|phone_ext:+4556513231|rtrregionsjaelland.dk|contact_backup:K F E|+ 45 56 51 31 17|lamlregionsjaelland.dk;facility:University Hospital Schleswig-Holstein|Kiel|Schleswig-Holstein|24105|Germany|status:Not yet recruiting|contact:Juergen Dunst MD|0049 431 500-26500|juergen.dunstuksh.de;facility:University Hospital Schleswig-Holstein|Lubeck|Schleswig-Holstein|23538|Germany|status:Not yet recruiting|contact:Dirk Rades MD|0049 451-500-45400|dirk.radesuksh.de,Denmark;Germany,
8,82,NCT03658161,Recruiting,,Cancer,,2020-06-30,,Other,Inclusion Criteria: - Patients for Focus Groups: Patients treated at the Duke Cancer Institute will be recruited to participate. Patients who self-refer to the study will also be recruited to participate and eligibility will be verified after completing informed consent. All participants will meet the following inclusion criteria: a) aged 18 years or older; b) able to speak and understand English; and c) diagnosis of breast prostate gynecologic gastrointestinal or brain cancer and treated at the Duke Cancer Institute. Patients participating in one of the two LGBTQ groups (i.e. LGBTQ individuals who identify as male; LGBTQ individuals who identify as female) must self-identify as gay lesbian bisexual transgender or queer. - Providers: We will recruit a total of 8 providers from the Duke Cancer Institute including 2 from each type of cancer that we are targeting (breast gynecologic colorectal and prostate). Within each cancer site we will recruit one physician and one physician-extender (physician assistant nurse practitioner or nurse) to represent the range of provider types. Eligible providers will be currently treating patients in one of the above listed disease groups at the Duke Cancer Institute. - Patients recruited for CASCADE: Patients treated at the Duke Cancer Institute will be recruited to complete the anonymous survey. All participants will meet the following inclusion criteria: a) aged 18 years or older; b) able to speak and understand English; and c) diagnosis of breast prostate gynecologic or gastrointestinal cancer and treated at the Duke Cancer Institute. Exclusion Criteria: - Patients for Focus Groups: Patients who meet any of the following criteria will be excluded: a) < 18 years old; b) cognitive or hearing impairment that is documented in the medical record or c) unable to provide meaningful consent (i.e. severe cognitive impairment such that descriptions of the research are not clearly understood). - Providers: Providers who treat cancers other than breast gynecologic colorectal and prostate cancers will not be eligible to participate. - Patients for CASCADE: Patients who meet any of the following criteria will be excluded: a) < 18 years old; b) cognitive or hearing impairment that is documented in the medical record or c) unable to provide meaningful consent (i.e. severe cognitive impairment such that descriptions of the research are not clearly understood).,All,,18 Years, ,facility:Duke Cancer Institute|Durham|North Carolina|27710|United States|status:Recruiting|contact:Caroline S Dorfman PhD|919-416-3473|caroline.dorfmanduke.edu|contact_backup:Sarah A Kelleher PhD|sarah.kelleherduke.edu|investigator:Kevin P Weinfrut PhD|role:Principal Investigator;Kathryn Pollak PhD|role:Sub-Investigator;Rebecca Shelby PhD|role:Sub-Investigator;Kelly Westbrook PhD|role:Principal Investigator,United States,
9,83,NCT03658525,Recruiting,,Prostate Cancer,MR GUIDED RADIOTHERAPY,2023-08-01,,Treatment,Inclusion Criteria: All of the following criteria should be met for study entry. - Histologically confirmed adenocarcinoma prostate- grade group 3 or less (Gleason 4+3=7 or less). - Staging T2-T3a N0M0 (MRI or DRE staging allowed). - PSA<25. - 6 months short course androgen deprivation therapy allowed not mandated. - Maximum prostate volume 70cc. - IPSS <12 at baseline. - WHO performance status 0 or 1. - Written informed consent. Exclusion Criteria: If one of the following criteria are met the patient is not eligible for the study - Other invasive malignancy within the last two years- excluding basal cell carcinoma and squamous cell carcinoma of the skin. - Patients who in the opinion of the Local PI require long course (> 6 months) ADT. - Contraindications to MRI.Including pacemaker implanted devices any non-MR compatible metallic implants.Severe claustrophobia. - Contraindications to gold fiducial marker implantation.Clotting disorders very high risk of bleeding.Clinically unacceptable risk of temporarily stopping anticoagulation or antiplatelet medications. - Contraindications to prostate radiotherapy Previous pelvic radiotherapy.Clinically significant inflammatory bowel disease. - Bilateral or single hip replacements.,Male,True, , ,facility:Royal Marsden - Surrey|Sutton|England|SM2 5PT|United Kingdom|status:Recruiting|contact:Contact Person|44-20-8661-3388,United Kingdom,
10,93,NCT03650595,Recruiting,Study Objectives are to evaluate the proportion of patients with low-intermediate risk prostate cancer undergoing focal laser ablation (MRgFLA) prostate treatment who will be free of clinically significant PCa when using a > 5mm margins around the MR visible tumor in defining the ablation contour. The rationale of the study is to show that MRgFLA is a safe procedure that can significantly postpone or eliminate the need for patients with Low-Intermediate Risk prostate cancer to undergo a definitive treatment (i.e. Radical Prostatectomy or Radiation therapy) for their disease. Study population: patients with Low-Intermediate Risk Prostate Cancer who are willing to take part in the study and meet study eligibility criteria. Primary Study Objective is to show that MRgFLA can significantly reduce the need for definitive treatment (e.g. Radical Prostatectomy or Radiation therapy) and is a safe procedure for patients with Low-Intermediate Risk Prostate Cancer defined in the current protocol as 1) Gleason score 6 and 7 (=3+4 or 4+3; No Grade 5 pattern) and 2) T1-T2 N0 M0.,Prostate Cancer;Low and Intermediate Risk Prostate Cancer,MRI;Focal Laser Ablation;MR-Guided Focal Laser Ablation,2022-06-30,,Treatment,Inclusion Criteria: - Men 40-80 years of age; - Histologically-proven low-intermediate risk prostate carcinoma; (Gleason score ≤ 7 primary grade ≤ 4) - Prostate cancer clinical stage T1c and T2 - MR site suspicious for cancer or cancer mapped to one lobe of the prostate using the 3D hybrid TRUS device - Size of MR visible tumor <20mm - Suspicious site on Prostate MRI must coincide with sector positive for cancer on biopsy. - Prostate specific antigen (PSA) level less than 15 ng/mL - IPSS ICIQ-UI-SF IIEF complete prior to procedure - Life expectancy of greater than 10 years based on co-morbidity not related to prostate cancer. Exclusion Criteria: - Medically unfit for focal therapy of the prostate - Patients who are unwilling or unable to give informed consent; - Patients who have received androgen suppression therapy - Patients who have received or are receiving chemotherapy for prostate carcinoma; - Patients previously treated with surgery to the prostate (traditional endoscopic or minimally invasive including HIFU TUNA RITA microwave cryotherapy or any curative treatment - Patients who have undergone radiation therapy for prostate cancer or to the pelvis - Any condition or history of illness or surgery that in the opinion of the Investigator might confound the results of the study or pose additional risks to the patient (e.g. significant cardiovascular conditions or allergies); - Patients with a history of non compliance with medical therapy and/or medical recommendations; - Patients who are unwilling or unable to complete the patient self-assessment questionnaires; - Chronic or acute prostatitis neurogenic bladder urinary tract infection sphincter abnormalities or any other symptom that prevents normal micturition. - Patients who have participated in a clinical study and/or received treatment with an investigational treatment and/or product within the past 90 days; - Patients with contraindication to MRI (i.e. pacemaker hip prosthesis severe claustrophobia brain aneurysm clip allergy to MRI contrast agent) - Any condition or history of illness that in the opinion of the investigator will confound or increase the patient risk during the study,Male,True,40 Years,80 Years,facility:Sangeet Ghai MD|Toronto|Ontario|M5G 2M9|Canada|status:Recruiting|contact:Sangeet Ghai MD|416-340-4800|phone_ext:3385|sangeet.ghaiuhn.ca|contact_backup:Kateri Corr RN|416-946-4501|phone_ext:5501|kateri.corruhn.ca,Canada,
